ID_PESS,ZONA_D
30919102,5
32271101,239
32271101,3
32271102,133
32271102,26
32271102,157
32274101,30
32274101,3
32274102,3
32274103,327
32274103,3
32274104,20
32274104,3
32274105,21
32274105,3
32284101,516
32284101,3
32284102,82
32284102,3
32284102,83
32287101,32
32287101,3
32346101,74
32346101,27
32346101,3
32633101,387
32633101,3
32633102,50
32633102,300
32633102,3
32633102,340
32633103,50
32633103,3
32633104,50
32633104,3
32642101,0
32646101,68
32646101,3
32647101,24
32647101,3
40003101,4
40003102,21
40003102,4
40005101,0
40005102,64
40005102,4
40006101,215
40006101,4
40006101,238
40006102,215
40006102,4
40006103,215
40006103,4
40006104,96
40006104,4
40006105,0
40006106,16
40006106,4
40007101,1
40007101,4
40007101,5
40009101,0
40009102,0
40010101,422
40010101,4
40011101,18
40011101,31
40011101,4
40011101,27
40011101,337
40011101,342
40011101,131
40011102,74
40011102,4
40014101,27
40014101,5
40014101,4
40014102,140
40014102,141
40014102,4
40014103,25
40014103,4
40014103,3
40014104,31
40014104,4
40014104,93
40014104,25
40014105,25
40014105,4
40016101,339
40016101,31
40016101,4
40018101,5
40018101,4
40020101,303
40020101,4
40020101,31
40020102,0
40020103,303
40020103,4
40020104,31
40020104,4
40020105,89
40020105,323
40024101,27
40024101,4
40029101,4
40029101,99
40029101,127
40029101,26
40029101,77
40029101,87
40036101,99
40036101,80
40036101,4
40036102,0
40037101,35
40037101,4
40040101,31
40040101,4
40040102,57
40040102,4
40041101,362
40041101,4
40042101,4
40045101,2
40045101,17
40045101,4
40045102,15
40045102,4
40046101,66
40046101,4
40046101,31
40049101,73
40049101,4
40049102,0
40049103,79
40049103,419
40049103,4
40316101,306
40316101,4
40320101,73
40320101,4
40320101,24
40320102,24
40320102,4
40334101,5
40334101,4
41176101,4
41176101,79
41176102,0
41176103,56
41176103,4
41183101,32
41183101,4
41186101,0
41199101,32
41199101,4
41211101,0
41213101,68
41213101,4
41215101,4
41216101,5
41216101,4
41216102,0
41216103,0
41230101,30
41230101,4
41332101,293
41332101,4
41332102,0
41557101,79
41557101,4
41905101,67
41905101,4
42032101,4
42032101,31
42039101,60
42039101,4
42039102,69
42039102,4
42040101,27
42040101,4
42040102,25
42040102,4
42040103,25
42040103,4
42040104,25
42040104,4
42044101,2
42044101,4
42048101,53
42048101,28
42048101,65
42048101,4
42048102,53
42048102,4
42048103,53
42048103,28
42048103,4
42066101,35
42066101,4
42066102,0
42066103,24
42066103,4
42085101,79
42085101,4
42085101,35
42085102,79
42085102,4
42085102,35
42085103,31
42085103,4
42085104,2
42085104,4
42085104,31
42085105,0
42091101,4
42091102,4
42123101,77
42123101,4
42123102,1
42123102,4
42275101,109
42275101,4
42358101,76
42358101,4
42358102,1
42358102,4
42374101,100
42374101,4
42374102,26
42374102,4
42374103,26
42374103,4
42374104,26
42374104,4
42374105,100
42374105,4
42551101,58
42551101,4
42551102,0
42593101,74
42593101,4
42593102,4
42593103,0
50011101,5
50011102,5
50011103,14
50011103,5
50011103,31
50014101,61
50014101,169
50014101,5
50016101,71
50016101,5
50016102,0
50018101,5
50018101,13
50033101,84
50033101,5
50037101,5
50037101,80
50037102,150
